Date,Open,High,Low,Close,Adj Close,Volume
1/2/1985,0.130022,0.130022,0.124442,0.124442,0.097851,175302400
1/3/1985,0.126674,0.130022,0.126674,0.126674,0.099606,166611200
1/4/1985,0.126674,0.127232,0.125,0.126674,0.099606,137267200
1/7/1985,0.126674,0.127232,0.126116,0.126116,0.099167,170912000
1/8/1985,0.126116,0.127232,0.125,0.125,0.098289,141120000
1/9/1985,0.128348,0.130022,0.128348,0.128348,0.100922,166723200
1/10/1985,0.133929,0.134487,0.133929,0.133929,0.10531,277065600
1/11/1985,0.133929,0.135045,0.131696,0.132813,0.104433,205049600
1/14/1985,0.136719,0.137835,0.136719,0.136719,0.107504,270435200
1/15/1985,0.136719,0.138951,0.133929,0.133929,0.10531,264969600
1/16/1985,0.135045,0.137277,0.135045,0.135045,0.106188,189884800
1/17/1985,0.135045,0.137277,0.125558,0.125558,0.098728,547523200
1/18/1985,0.125558,0.13058,0.125,0.12779,0.100483,352665600
1/21/1985,0.13058,0.131696,0.13058,0.13058,0.102677,325427200
1/22/1985,0.134487,0.135045,0.134487,0.134487,0.105749,424838400
1/23/1985,0.134487,0.135045,0.132254,0.132254,0.103993,430505600
1/24/1985,0.132254,0.132254,0.129464,0.129464,0.101799,397062400
1/25/1985,0.129464,0.132254,0.126674,0.132254,0.103993,318460800
1/28/1985,0.135045,0.136719,0.135045,0.135045,0.106188,412182400
1/29/1985,0.135045,0.136161,0.133371,0.133371,0.104872,223731200
1/30/1985,0.133371,0.136161,0.133371,0.133371,0.104872,492441600
1/31/1985,0.133371,0.133929,0.129464,0.129464,0.101799,276236800
2/1/1985,0.129464,0.130022,0.126674,0.12779,0.100483,137737600
2/4/1985,0.13058,0.131138,0.13058,0.13058,0.102677,218019200
2/5/1985,0.131696,0.133929,0.131696,0.131696,0.103555,190041600
2/6/1985,0.133929,0.133929,0.133929,0.133929,0.10531,194432000
2/7/1985,0.133929,0.135603,0.133371,0.133371,0.104872,245481600
2/8/1985,0.133371,0.133929,0.131696,0.133371,0.104872,132025600
2/11/1985,0.136161,0.137277,0.136161,0.136161,0.107065,346953600
2/12/1985,0.136161,0.136719,0.132813,0.132813,0.104433,226508800
2/13/1985,0.132813,0.132813,0.126674,0.126674,0.099606,527027200
2/14/1985,0.126674,0.12779,0.123326,0.123326,0.096973,426832000
2/15/1985,0.123326,0.125558,0.12221,0.125,0.098289,173622400
2/19/1985,0.124442,0.124442,0.123326,0.123326,0.096973,149833600
2/20/1985,0.123326,0.123884,0.117746,0.117746,0.092585,219968000
2/21/1985,0.119978,0.120536,0.119978,0.119978,0.09434,308224000
2/22/1985,0.119978,0.124442,0.119978,0.123326,0.096973,226531200
2/25/1985,0.123326,0.123884,0.121652,0.121652,0.095657,98537600
2/26/1985,0.121652,0.12221,0.11942,0.11942,0.093902,188966400
2/27/1985,0.11942,0.11942,0.112165,0.112165,0.088197,403580800
2/28/1985,0.112165,0.112165,0.110491,0.110491,0.086881,319065600
3/1/1985,0.110491,0.111049,0.107143,0.111049,0.087319,247430400
3/4/1985,0.112723,0.116071,0.112723,0.112723,0.088636,153104000
3/5/1985,0.115513,0.115513,0.115513,0.115513,0.09083,130771200
3/6/1985,0.115513,0.115513,0.109933,0.109933,0.086442,193603200
3/7/1985,0.109933,0.110491,0.098772,0.098772,0.077666,733980800
3/8/1985,0.098772,0.098772,0.092634,0.095982,0.075472,473558400
3/11/1985,0.09933,0.099888,0.09933,0.09933,0.078105,286003200
3/12/1985,0.102679,0.103795,0.102679,0.102679,0.080738,219430400
3/13/1985,0.102679,0.102679,0.097098,0.097098,0.07635,251126400
3/14/1985,0.097098,0.097656,0.097098,0.097098,0.07635,241606400
3/15/1985,0.097098,0.103237,0.09654,0.101004,0.079421,181417600
3/18/1985,0.102121,0.103237,0.102121,0.102121,0.080299,124768000
3/19/1985,0.102121,0.103237,0.098214,0.098214,0.077227,171449600
3/20/1985,0.09933,0.101004,0.09933,0.09933,0.078105,404969600
3/21/1985,0.101004,0.102679,0.101004,0.101004,0.079421,162467200
3/22/1985,0.101004,0.102679,0.09933,0.09933,0.078105,80371200
3/25/1985,0.09933,0.09933,0.09654,0.09654,0.075911,109961600
3/26/1985,0.100446,0.100446,0.100446,0.100446,0.078982,121430400
3/27/1985,0.100446,0.101563,0.097656,0.097656,0.076788,111350400
3/28/1985,0.097656,0.09933,0.097656,0.097656,0.076788,129606400
3/29/1985,0.097656,0.09933,0.097656,0.098772,0.077666,87180800
4/1/1985,0.098772,0.101004,0.09654,0.09654,0.075911,114060800
4/2/1985,0.09654,0.097098,0.09375,0.09375,0.073717,227427200
4/3/1985,0.09375,0.094308,0.09375,0.09375,0.073717,242659200
4/4/1985,0.09375,0.094308,0.092076,0.093192,0.073278,161862400
4/8/1985,0.093192,0.09375,0.087612,0.087612,0.068891,198732800
